polymer,nmer,category,run,source_path,dest_path,status
LP910,11,openff,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/openff/simulation_outputs/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/openff/combined_trajectory_run3.dcd,OK (copied)
LP910,11,GAFF,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/GAFF/simulation_outputs_implicit/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/GAFF/combined_trajectory_run1.dcd,OK (copied)
LP910,11,GAFF,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/GAFF/simulation_outputs_implicit/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/GAFF/combined_trajectory_run2.dcd,OK (copied)
LP910,11,GAFF,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/GAFF/simulation_outputs_implicit/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/GAFF/combined_trajectory_run3.dcd,OK (copied)
LP910,11,AIMNET2,openff_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/openff/simulation_outputs/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/AIMNET2/production_openff_run1.traj,OK (copied)
LP910,11,AIMNET2,GAFF_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/GAFF/simulation_outputs_implicit/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/AIMNET2/production_GAFF_run1.traj,OK (copied)
LP910,11,AIMNET2,openff_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/openff/simulation_outputs/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/AIMNET2/production_openff_run2.traj,OK (copied)
LP910,11,AIMNET2,GAFF_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/GAFF/simulation_outputs_implicit/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/AIMNET2/production_GAFF_run2.traj,OK (copied)
LP910,11,AIMNET2,openff_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/openff/simulation_outputs/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/AIMNET2/production_openff_run3.traj,OK (copied)
LP910,11,AIMNET2,GAFF_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/GAFF/simulation_outputs_implicit/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/AIMNET2/production_GAFF_run3.traj,OK (copied)
P3HT,5,openff,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/P3HT-5mer/openff/simulation_outputs/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/P3HT/5mer/openff/combined_trajectory_run1.dcd,OK (copied)
P3HT,5,openff,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/P3HT-5mer/openff/simulation_outputs/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/P3HT/5mer/openff/combined_trajectory_run2.dcd,OK (copied)
